MESS_DATUM;R1
2015010100;0.0
2015010101;0.0
2015010102;0.0
2015010103;0.0
2015010104;0.0
2015010105;0.0
2015010106;0.0
2015010107;0.0
2015010108;0.0
2015010109;0.0
2015010110;0.0
2015010111;0.0
2015010112;0.0
2015010113;0.0
2015010114;0.0
2015010115;0.0
2015010116;0.0
2015010117;0.0
2015010118;0.0
2015010119;0.0
2015010120;0.0
2015010121;0.0
2015010122;0.0
2015010123;0.0
2015010200;0.0
2015010201;0.4
2015010202;0.4
2015010203;0.2
2015010204;0.5
2015010205;2.2
2015010206;0.2
2015010207;0.0
2015010208;0.2
2015010209;0.0
2015010210;0.0
2015010211;0.0
2015010212;0.0
2015010213;0.0
2015010214;0.0
2015010215;0.0
2015010216;0.0
2015010217;0.0
2015010218;1.6
2015010219;0.2
2015010220;0.0
2015010221;0.0
2015010222;0.0
2015010223;2.0
2015010300;0.0
2015010301;0.0
2015010302;0.0
2015010303;0.0
2015010304;0.0
2015010305;0.0
2015010306;0.0
2015010307;0.0
2015010308;0.0
2015010309;0.0
2015010310;0.0
2015010311;0.0
2015010312;0.0
2015010313;0.0
2015010314;0.0
2015010315;0.4
2015010316;0.2
2015010317;2.7
2015010318;2.6
2015010319;0.1
2015010320;0.0
2015010321;0.0
2015010322;0.0
2015010323;0.0
2015010400;0.0
2015010401;0.0
2015010402;0.0
2015010403;0.0
2015010404;0.1
2015010405;0.0
2015010406;0.0
2015010407;0.0
2015010408;0.0
2015010409;0.0
2015010410;0.0
2015010411;0.0
2015010412;0.0
2015010413;0.0
2015010414;0.0
2015010415;0.0
2015010416;0.0
2015010417;0.0
2015010418;0.0
2015010419;0.0
2015010420;0.0
2015010421;0.0
2015010422;0.0
2015010423;0.0
2015010500;0.0
2015010501;0.0
2015010502;0.0
2015010503;0.0
2015010504;0.0
2015010505;0.0
2015010506;0.0
2015010507;0.0
2015010508;0.0
2015010509;0.0
2015010510;0.0
2015010511;0.0
2015010512;0.0
2015010513;0.0
2015010514;0.0
2015010515;0.0
2015010516;0.0
2015010517;0.0
2015010518;0.0
2015010519;0.0
2015010520;0.0
2015010521;0.0
2015010522;0.0
2015010523;0.0
2015010600;0.0
2015010601;0.0
2015010602;0.0
2015010603;0.0
2015010604;0.0
2015010605;0.0
2015010606;0.0
2015010607;0.0
2015010608;0.0
2015010609;0.0
2015010610;0.0
2015010611;0.0
2015010612;0.0
2015010613;0.0
2015010614;0.0
2015010615;0.0
2015010616;0.0
2015010617;0.0
2015010618;0.0
2015010619;0.0
2015010620;0.0
2015010621;0.0
2015010622;0.0
2015010623;0.0
2015010700;0.0
2015010701;0.0
2015010702;0.0
2015010703;0.1
2015010704;0.1
2015010705;0.0
2015010706;0.3
2015010707;0.0
2015010708;0.0
2015010709;0.0
2015010710;0.0
2015010711;0.0
2015010712;0.0
2015010713;0.0
2015010714;0.0
2015010715;0.0
2015010716;0.0
2015010717;0.0
2015010718;0.0
2015010719;0.0
2015010720;0.0
2015010721;0.0
2015010722;0.0
2015010723;0.0
2015010800;0.0
2015010801;0.0
2015010802;0.0
2015010803;0.0
